.070391,0
.231842,.0003
.38885,.0001
.546888,-.0002
.704443,.0003
.86143,.002
1.018577,.0025
1.176304,.0025
1.333452,.0018
1.490921,.0019
1.647801,.0046
1.805141,.0047
1.962085,.0046
2.119653,.0038
2.276629,.0039
2.434849,.004
2.591138,.0014
2.749069,.0016
2.905831,.0032
3.063654,.0057
3.221081,.0049
3.378228,.0045
3.535751,.0041
3.692942,.0071
3.850197,.007
4.007806,.0069
4.164642,.0069
4.322265,.0064
4.478865,.0061
4.636667,.0057
4.794394,.0094
4.951928,.0079
5.107659,.0093
5.193321,.0091
5.20694,.0096
5.213218,.0099
5.216888,.0098
5.218766,.0104
5.220559,.0105
5.221374,.0104
5.222201,.0102
5.223016,.0125
5.223596,.0125
5.223853,.0125
5.223907,.011
5.223982,.0103
5.224368,.0096
5.104611,.0105
4.947614,.0104
4.789586,.0084
4.631924,.0081
4.474089,.0077
4.317049,.0089
4.15934,.0089
4.002096,.0092
3.844541,.0062
3.687447,.005
3.530192,.0044
3.372637,.0042
3.215318,.0054
3.057741,.005
2.900218,.004
2.743038,.0036
2.58515,.0034
2.428464,.0033
2.270512,.0027
2.113203,.0004
1.955689,.001
1.798584,.0013
1.641404,.0024
1.48474,.0026
1.327131,.0025
1.169672,.0006
1.012514,.0008
.855098,.002
.698111,.0017
.540953,.0016
.383183,.0008
.226529,-.0005
.069028,-.0001
-.002597,.0006
-.002597,.0013
